DB00050,0100100000000000000100001000000001000000001000100000000000000001100000000000000111000010000000000000000000001000000001000000000010000000000010010001000100000000000000000000000100000000000010000100010000010000000000001000001000000000000100000010010000000000000000000000000000000000100100000100000000000100000000100000000000100000000000000000000000000000001010000001000001000000001000000000000000000000000000000100000000100000000100000000010000000010000000001010000000000000000000000010000010000000100000100000000100000000000000000001000100000000000000000000000001100000000001000011000000000000101000100000000000000000000000011000000000000000000001000010000000010000000100000000000010000000010000000000000000001000000000000000001000100000100100000100000000100001000000000000000000000000000000000000001000000001000000001000000100000001000000001010000001001000010000000000000000010000000000010000011000000000000000000000000000000011000000010000000000000000000000000000001000000000000000110000010010000000000000000000000001010000
DB00152,0001000000000000000000000010000001000000000010000000000000000000000000000000000110000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000001000001001000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000100000000000000001000000000000010000000000000000000001000000000000000000000000000000000000000000000000010000101000000000000000000000100000100000000010000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000100001000000000000000000000000000000000000000100100000000001000000000000000000000000000000000000000000001000000000000000000000001000000001000000001000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
DB00162,0000100000000000000000000000000101001000000010000000000100000000000000000000000010000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000100000000100001000000000000000000000000000000100000000000000000100000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000010000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000100010000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000011000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000
DB00175,0100000000000000000000000000000001100000000000000000000000010000000000000000000010000001000000000000001000000000000001000000000000000000000000000001000000000000000000000100000000000000000000000000000000000001000000000001000000010000010000000000000000000000000000000010100000000000001101000000101000001000000000000000000000000000000000000000000000000000000010010000000000000000000000000000010000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000100010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010010000000000000000000000010010000000000000010100000000000000010000000010000000000000100100000000000000000000000000100000000000000000000000000000001000000001000000000000000000000000100000000000000001000000000000000000000000000000000000000000110000000000000000000000001000000010000000000000000000000000000000000000000000000101000000000001000000000000000010000000001100010000
DB00176,0000000000000100000000000000000001000000000000000000000000000000000000000000000010000000000000000000010000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000001000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000100000000000000010000000001000000000010000000000000000000000101010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000100000000000000000000010000000000000000001000000000011000000010000000000000000100000000000000000000100000000000000000000000000000000001010000001000000000000000000000000100000001000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000
DB00177,0100000000000000000000000000000001000000000000000000001000000000100000000000000010000000001000000000100000000000000000000001000000000000100010000000000000000000000000000000000100000000000000000000000000000000000000100000001000000000000000000000000000000000010000000000000000000000000100000000001000000000000000100000000000000000000000001000000000000000100010000100000000000000001000000000010000000000000000000000101000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000001000000000000000000000000000001000000000000000000000010000100000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000001000100000000000000000010000000000000000000000000000000000000000000010000000000001000000000000100000000000000001000000000101000000000000000000000001000000010000010000010011000000000000000000000000100010000000000000000000000000000000000000000000000000000011001000000000000000000000000000000000000000
DB00178,0100100000000000000001000000000001000001001000000001000000000000100000000000000010000000000000000100000000001000000000000000000010000000000100000101000001000000000000000000000100000000000000000000000000000000000000100001000000000000000000000000000000000001000000000000100000001000000100000000001000000100000000000000000000000000000000000000000000000000000010000000000000100000000000000000010000000000000000010000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000001000000000000000000000000000100000000000001000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000010010000000000000000000000000001000100000100100000000000000000000000000000000000000000000000000000010000000000001100000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000010000000010000000000000000000000000000000000000000000100000000010000000000000000000000000000010000
DB00180,0000000000000000010000000000000011001000000000100000000000000000000000000000000010001000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000001000000000010000001000000000100000000001000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000100000000010000110000000100000000000100100000000000000000000000100100000000000000000000000000000000000000000000001000000000000000010000000000100001100000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000110000100010000000000010000000000100000000000000000000001000000100000100000000000000000100000100000000000100000000010000
DB00181,0100000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000010000000000001000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000100000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000100000000000000000001000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
DB00182,0100000000000001000000000000000001000000001000000000000000000000100000000000000110000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
DB00184,0000100000000000000100000000000001000000000000000000000010000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000010000000000010000000001000000000000000000000000000000000000000000000000000000000010000000010000000001000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
DB00185,0000000000000000000000000000000001001000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001001000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000010000000000000000010000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000010000000010000000000010000
